name,Number of Theatres,Box Office,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability
30 Minutes or Less,2888,4616,37.05,3.49,40.55,28,1.4481
50/50,2458,3517,34.9,1.62,36.51,8,4.5639
A Dangerous Method,0,0,0.54,8.44,8.97,20,0.4486
A Very Harold and Kumar Christmas,2875,4506,34.04,0,34.04,19,1.7918
Abduction,3118,3504,28.07,54,82.07,35,2.3448
Albert Nobbs,245,2841,2.75,0,2.75,8,0.3438
Anonymous,265,3856,4.46,9.73,14.19,30,0.473
Another Earth,0,0,1.32,0.45,1.77,0.2,8.855
Apollo 18,3328,2615,17.69,7.88,25.56,5,5.1124
Arthur,3276,3731,33.04,12.7,45.74,40,1.1434
Arthur Christmas,3376,3537,46.46,100.95,147.41,150,0.9827
Average,2690,8405,66,104,163,55,2.9626
Bad Teacher,3049,10365,100.29,115.9,216.2,20,10.8098
Battle: Los Angeles,3417,10411,83.55,128.27,211.82,70,3.026
Beastly,1952,5047,27.87,0.97,28.83,17,1.6961
Beginners,5,28268,5.79,8.52,14.31,3.2,4.4719
Bridesmaids,2918,8995,169.11,119.28,288.38,32.5,8.8733
Captain America: The First Avenger,3715,17512,176.65,191.75,368.4,140,2.6315
Cars 2,4115,16072,191.45,360.4,551.85,200,2.7593
Cedar Rapids,15,20198,6.86,0,6.86,10,0.6861
Colombiana,2614,3982,36.67,24.3,60.97,40,1.5241
Conan the Barbarian,3015,3324,21.3,27.5,48.8,90,0.5422
Contagion,3222,6935,75.66,59.8,135.46,60,2.2576
Cowboys and Aliens,3750,9715,100.24,74.58,174.82,163,1.0725
"Crazy, Stupid, Love",3020,6326,84.34,58.5,142.84,50,2.8568
Diary of a Wimpy Kid 2: Rodrick Rules,3167,7500,52.7,19.72,72.42,21,3.4484
Dolphin Tale,3507,5461,71.08,16.86,87.95,37,2.3769
Don't Be Afraid Of The Dark,2760,3089,24.05,7.5,31.55,25,1.2618
Dream House,2661,3055,21.3,17.2,38.5,50,0.77
Drive,2886,3929,34.68,32.33,67.01,15,4.4671
Drive Angry,2290,2265,10.72,18.21,28.93,45,0.6429
Dylan Dog: Dead of Night,0,0,1.19,3.45,4.63,20,0.2317
Everything Must Go,218,3652,2.71,0,2.71,5,0.5422
Extremely Loud and Incredibly Close,2630,3820,31.59,14.4,45.99,40,1.1498
Fast Five,3644,23655,209.83,416.3,626.13,125,5.009
Final Destination 5,3155,5715,42.59,115.3,157.89,40,3.9472
Footloose,3549,4383,51.16,10.9,62.05,24,2.5855
Friends With Benefits,2926,6364,55.8,93.74,149.54,35,4.2726
Fright Night,3114,2477,18.3,18.8,37.1,30,1.2367
Gnomeo and Juliet,2994,8469,99.97,94,193.97,36,5.388
Green Lantern,3816,13935,116.6,103.25,219.85,200,1.0993
Hall Pass,2950,4588,45.06,38.1,83.16,36,2.31
Hanna,2535,4880,40.26,23.52,63.78,30,2.126
Happy Feet 2,3606,5889,57.31,49.2,106.51,135,0.7889
Harry Potter and the Deathly Hallows Part 2,4375,38672,381.01,947.1,1328.11,125,10.6249
Hesher,0,0,0.38,0,0.38,7,0.0546
Hop,3579,10490,108.09,75.87,183.95,63,2.9199
Horrible Bosses,3040,9310,117.54,92.1,209.64,35,5.9897
Hugo,1277,8899,62.08,34.6,96.68,150,0.6445
I Am Number Four,3154,6167,55.1,89.4,144.5,60,2.4083
Immortals,3112,10349,80.49,102,182.49,75,2.4331
In Time,3122,3860,36.49,90.9,127.39,40,3.1848
Insidious,2408,5511,54.01,43,97.01,1.5,64.6727
J.Edgar,1910,5873,37.39,35.8,73.19,35,2.0911
Jack and Jill,3438,7273,73.83,51.1,124.93,79,1.5814
Jane Eyre,0,0,11.24,18.91,30.15,0,0
Johnny English Reborn,1552,2470,8.31,149.63,157.94,45,3.5098
Just Go With It,3548,8601,103.03,111.92,214.95,80,2.6868
Killer Elite,2986,3132,25.12,27.84,52.96,70,0.7566
Kung Fu Panda 2,3925,12142,165.25,497.78,663.02,150,4.4202
Larry Crowne,2973,4405,35.61,16.8,52.41,30,1.7469
Limitless,2756,6860,79.25,82.6,161.85,27,5.9944
Machine Gun Preacher,0,0,0.54,0.57,1.1,30,0.0368
Margin Call,0,0,4.94,3.93,8.87,3.5,2.534
Mars Needs Moms,3117,2218,21.39,17.6,38.99,150,0.2599
Midnight in Paris,944,6177,56.8,91.86,148.66,17,8.7447
Mission Impossible 4,3448,8672,208.38,480.4,688.78,145,4.7502
Moneyball,2993,6516,75.6,32.5,108.1,50,2.162
Monte Carlo,2473,3014,23.18,16.48,39.66,20,1.9832
Mr. Popper's Penguins,3339,5524,68.22,119.14,187.36,55,3.4065
My Week with Marilyn,247,7174,5.31,2.95,8.26,10,0.8258
Never Back Down 2: The Beatdown,0,0,0,0,0,3,0
New Year's Eve,3505,3714,54.54,87.5,142.04,56,2.5364
No Strings Attached,3018,6512,70.6,77.1,147.7,25,5.908
One Day,1719,2955,13.84,41.4,55.24,15,3.6827
Our Idiot Brother,2555,2744,24.82,0,24.82,5,4.9632
Paranormal Activity 3,3321,15829,103.66,98.24,201.9,5,40.3794
Paul,2802,4655,37.41,60.57,97.98,40,2.4496
"Pirates of the Caribbean:
On Stranger Tides",4155,21697,241.07,802.8,1043.87,250,4.1755
Priest,2864,5221,29.14,49.17,78.31,60,1.3051
Puss In Boots,3952,8623,148.76,373.5,522.26,130,4.0174
Rango,3917,9722,123.26,121.9,245.15,135,1.816
Real Steel,3440,7942,83.61,186.2,269.81,110,2.4528
Red Riding Hood,3030,4622,37.66,51.5,89.16,42,2.1229
Red State,0,0,1.1,0,1.1,4,0.276
Rio,3826,10252,143.62,341.02,484.63,90,5.3848
Rise of the Planet of the Apes,3648,15024,176.7,304.52,481.23,93,5.1745
Sanctum,2787,3390,23.2,85.4,108.6,30,3.62
Scream 4,3305,5656,38.18,58.96,97.14,40,2.4284
Season Of The Witch,2816,3769,24.8,66.8,91.6,40,2.29
Shame,10,34952,3.87,10.09,13.96,6.5,2.1477
Shark Night 3D,2806,2995,18.88,19.83,38.7,25,1.5481
Sherlock Holmes 2,3703,10704,186.36,335.6,521.96,125,4.1757
Something Borrowed,2904,4802,39.05,21.14,60.18,35,1.7195
Soul Surfer,2214,4789,43.85,0.41,44.27,18,2.4593
Source Code,2961,5002,54.71,68.57,123.28,32,3.8524
Spy Kids: All The Time in the World,3295,3534,38.54,35.54,74.08,27,2.7437
Sucker Punch,3033,6284,36.39,53.4,89.79,82,1.095
