Rotten Tomatoes %,Budget,Audience  score %,Box Office Average per US Cinema (Opening Weekend),Number of Theatres in US Opening Weekend,Domestic Gross,Foreign Gross,Worldwide Gross,Profitability,Opening Weekend,Rank,Film
43,28,48,4616,2888,37.05,3.49,40.55,1.4481,13.33,98,30 Minutes or Less
93,8,93,3517,2458,34.9,1.62,36.51,4.5639,8.64,97,50/50
79,20,89,,,0.54,8.44,8.97,0.4486,0.17,96,A Dangerous Method
72,19,71,4506,2875,34.04,??,34.04,1.7918,12.95,95,A Very Harold and Kumar Christmas
4,35,46,3504,3118,28.07,54,82.07,2.3448,10.93,94,Abduction
53,8,43,2841,245,2.75,0,2.75,0.3438,0.69,93,Albert Nobbs
46,30,66,3856,265,4.46,9.73,14.19,0.473,1.02,92,Anonymous
63,0.2,74,,,1.32,0.45,1.77,8.855,0.08,91,Another Earth
23,5,31,2615,3328,17.69,7.88,25.56,5.1124,8.7,90,Apollo 18
26,40,49,3731,3276,33.04,12.7,45.74,1.1434,12.22,89,Arthur
92,150,82,3537,3376,46.46,100.95,147.41,0.9827,12.07,88,Arthur Christmas
54,55,62,"8,405","2,690",66,104,163,2.9626,21,87,Average
44,20,38,10365,3049,100.29,115.9,216.2,10.8098,31.6,86,Bad Teacher
35,70,50,10411,3417,83.55,128.27,211.82,3.026,35.57,85,Battle: Los Angeles
19,17,50,5047,1952,27.87,0.97,28.83,1.6961,9.85,84,Beastly
84,3.2,80,28268,5,5.79,8.52,14.31,4.4719,0.14,83,Beginners
90,32.5,77,8995,2918,169.11,119.28,288.38,8.8733,26.25,82,Bridesmaids
78,140,75,17512,3715,176.65,191.75,368.4,2.6315,65.06,81,Captain America: The First Avenger
38,200,56,16072,4115,191.45,360.4,551.85,2.7593,66.14,80,Cars 2
86,10,61,20198,15,6.86,,6.86,0.6861,0.3,79,Cedar Rapids
28,40,55,3982,2614,36.67,24.3,60.97,1.5241,10.41,78,Colombiana
22,90,34,3324,3015,21.3,27.5,48.8,0.5422,10.02,77,Conan the Barbarian
84,60,63,6935,3222,75.66,59.8,135.46,2.2576,22.4,76,Contagion
44,163,50,9715,3750,100.24,74.58,174.82,1.0725,36.43,75,Cowboys and Aliens
78,50,81,6326,3020,84.34,58.5,142.84,2.8568,19.1,74,"Crazy, Stupid, Love"
47,21,63,7500,3167,52.7,19.72,72.42,3.4484,23.75,73,Diary of a Wimpy Kid 2: Rodrick Rules
84,37,81,5461,3507,71.08,16.86,87.95,2.3769,19.15,72,Dolphin Tale
59,25,37,3089,2760,24.05,7.5,31.55,1.2618,8.53,71,Don't Be Afraid Of The Dark
7,50,38,3055,2661,21.3,17.2,38.5,0.77,8.13,70,Dream House
93,15,79,3929,2886,34.68,32.33,67.01,4.4671,11.34,69,Drive
45,45,38,2265,2290,10.72,18.21,28.93,0.6429,5.19,68,Drive Angry
6,20,28,,,1.19,3.45,4.63,0.2317,0.75,67,Dylan Dog: Dead of Night
74,5,53,3652,218,2.71,,2.71,0.5422,0.79,66,Everything Must Go
47,40,62,3820,2630,31.59,14.4,45.99,1.1498,10.04,65,Extremely Loud and Incredibly Close
78,125,83,23655,3644,209.83,416.3,626.13,5.009,86.19,64,Fast Five
61,40,56,5715,3155,42.59,115.3,157.89,3.9472,18.03,63,Final Destination 5
71,24,71,4383,3549,51.16,10.9,62.05,2.5855,15.56,62,Footloose
71,35,68,6364,2926,55.8,93.74,149.54,4.2726,18.62,61,Friends With Benefits
75,30,68,2477,3114,18.3,18.8,37.1,1.2367,7.71,60,Fright Night
56,36,52,8469,2994,99.97,94,193.97,5.388,25.36,59,Gnomeo and Juliet
27,200,48,13935,3816,116.6,103.25,219.85,1.0993,53.17,58,Green Lantern
35,36,44,4588,2950,45.06,38.1,83.16,2.31,13.54,57,Hall Pass
71,30,67,4880,2535,40.26,23.52,63.78,2.126,12.37,56,Hanna
41,135,59,5889,3606,57.31,49.2,106.51,0.7889,21.24,55,Happy Feet 2
96,125,92,38672,4375,381.01,947.1,"1,328.11",10.6249,169.19,54,Harry Potter and the Deathly Hallows Part 2
54,7,68,,,0.38,??,0.38,0.0546,0.13,53,Hesher
26,63,50,10490,3579,108.09,75.87,183.95,2.9199,37.54,52,Hop
69,35,72,9310,3040,117.54,92.1,209.64,5.9897,28.3,51,Horrible Bosses
93,150,84,8899,1277,62.08,34.6,96.68,0.6445,11.36,50,Hugo
32,60,57,6167,3154,55.1,89.4,144.5,2.4083,19.45,49,I Am Number Four
36,75,59,10349,3112,80.49,102,182.49,2.4331,32.21,48,Immortals
38,40,55,3860,3122,36.49,90.9,127.39,3.1848,12.05,47,In Time
67,1.5,65,5511,2408,54.01,43,97.01,64.6727,13.27,46,Insidious
42,35,84,5873,1910,37.39,35.8,73.19,2.0911,11.22,45,J.Edgar
4,79,59,7273,3438,73.83,51.1,124.93,1.5814,25,44,Jack and Jill
85,,77,,,11.24,18.91,30.15,,0.18,43,Jane Eyre
38,45,55,2470,1552,8.31,149.63,157.94,3.5098,3.83,42,Johnny English Reborn
19,80,63,8601,3548,103.03,111.92,214.95,2.6868,30.51,41,Just Go With It
25,70,48,3132,2986,25.12,27.84,52.96,0.7566,9.35,40,Killer Elite
82,150,80,12142,3925,165.25,497.78,663.02,4.4202,47.66,39,Kung Fu Panda 2
34,30,46,4405,2973,35.61,16.8,52.41,1.7469,13.1,38,Larry Crowne
69,27,73,6860,2756,79.25,82.6,161.85,5.9944,18.91,37,Limitless
29,30,71,,,0.54,0.57,1.1,0.0368,0.05,36,Machine Gun Preacher
86,3.5,73,,,4.94,3.93,8.87,2.534,0.56,35,Margin Call
36,150,43,2218,3117,21.39,17.6,38.99,0.2599,6.91,34,Mars Needs Moms
93,17,84,6177,944,56.8,91.86,148.66,8.7447,5.83,33,Midnight in Paris
93,145,86,8672,3448,208.38,480.4,688.78,4.7502,29.55,32,Mission Impossible 4
95,50,89,6516,2993,75.6,32.5,108.1,2.162,19.5,31,Moneyball
38,20,50,3014,2473,23.18,16.48,39.66,1.9832,7.45,30,Monte Carlo
47,55,54,5524,3339,68.22,119.14,187.36,3.4065,18.45,29,Mr. Popper's Penguins
83,10,84,7174,247,5.31,2.95,8.26,0.8258,1.75,28,My Week with Marilyn
?,3,44,,,,,,0,8.6,27,Never Back Down 2: The Beatdown
8,56,48,3714,3505,54.54,87.5,142.04,2.5364,13.01,26,New Year's Eve
49,25,57,6512,3018,70.6,77.1,147.7,5.908,19.7,25,No Strings Attached
37,15,54,2955,1719,13.84,41.4,55.24,3.6827,5.08,24,One Day
68,5,79,2744,2555,24.82,,24.82,4.9632,7.01,23,Our Idiot Brother
68,5,58,15829,3321,103.66,98.24,201.9,40.3794,52.57,22,Paranormal Activity 3
72,40,70,4655,2802,37.41,60.57,97.98,2.4496,13.04,21,Paul
34,250,61,21697,4155,241.07,802.8,"1,043.87",4.1755,90.15,20,"Pirates of the Caribbean:
On Stranger Tides"
17,60,37,5221,2864,29.14,49.17,78.31,1.3051,14.95,19,Priest
83,130,76,8623,3952,148.76,373.5,522.26,4.0174,34.08,18,Puss In Boots
88,135,69,9722,3917,123.26,121.9,245.15,1.816,38.08,17,Rango
58,110,81,7942,3440,83.61,186.2,269.81,2.4528,27.32,16,Real Steel
11,42,41,4622,3030,37.66,51.5,89.16,2.1229,14.01,15,Red Riding Hood
57,4,59,,,1.1,?,1.1,0.276,,14,Red State
71,90,73,10252,3826,143.62,341.02,484.63,5.3848,39.23,13,Rio
83,93,87,15024,3648,176.7,304.52,481.23,5.1745,54.81,12,Rise of the Planet of the Apes
30,30,39,3390,2787,23.2,85.4,108.6,3.62,9.4,11,Sanctum
58,40,57,5656,3305,38.18,58.96,97.14,2.4284,18.69,10,Scream 4
10,40,32,3769,2816,24.8,66.8,91.6,2.29,10.6,9,Season Of The Witch
80,6.5,80,34952,10,3.87,10.09,13.96,2.1477,0.34,8,Shame
16,25,25,2995,2806,18.88,19.83,38.7,1.5481,8.4,7,Shark Night 3D
60,125,79,10704,3703,186.36,335.6,521.96,4.1757,39.63,6,Sherlock Holmes 2
?,35,?,4802,2904,39.05,21.14,60.18,1.7195,13.95,5,Something Borrowed
46,18,79,4789,2214,43.85,0.41,44.27,2.4593,10.6,4,Soul Surfer
92,32,81,5002,2961,54.71,68.57,123.28,3.8524,14.81,3,Source Code
22,27,40,3534,3295,38.54,35.54,74.08,2.7437,11.64,2,Spy Kids: All The Time in the World
23,82,48,6284,3033,36.39,53.4,89.79,1.095,19.06,1,Sucker Punch
82,50,78,10492,3379,127,132.71,259.71,5.1943,35.45,0,Super 8 
